#chr	start	end	strand	transcript	gene	AED	QI2
8	4168577	4170960	-	transcript:Zm00001d008289_T002	gene:Zm00001d008289	0.43	0.66
8	4168577	4174761	-	transcript:Zm00001d008289_T003	gene:Zm00001d008289	0.40	0.75
8	4178527	4182179	-	transcript:Zm00001d008291_T001	gene:Zm00001d008291	0.37	0.57
8	4801455	4804054	-	transcript:Zm00001d008308_T002	gene:Zm00001d008308	0.31	0.5
8	4840731	4847254	-	transcript:Zm00001d008311_T002	gene:Zm00001d008311	0.20	0.5
8	4842629	4847254	-	transcript:Zm00001d008311_T004	gene:Zm00001d008311	0.41	0.6
8	4961095	4969539	-	transcript:Zm00001d008314_T002	gene:Zm00001d008314	0.36	0.75
8	4961095	4969539	-	transcript:Zm00001d008314_T003	gene:Zm00001d008314	0.02	0.66
8	4663525	4670394	-	transcript:Zm00001d008303_T002	gene:Zm00001d008303	0.03	0.66
8	4663573	4669956	-	transcript:Zm00001d008303_T004	gene:Zm00001d008303	0.27	0.66
8	4663687	4668795	-	transcript:Zm00001d008303_T006	gene:Zm00001d008303	0.15	0.66
8	4663687	4670526	-	transcript:Zm00001d008303_T008	gene:Zm00001d008303	0.32	0.6
8	4663705	4669021	-	transcript:Zm00001d008303_T011	gene:Zm00001d008303	0.14	0.5
8	4663726	4669117	-	transcript:Zm00001d008303_T013	gene:Zm00001d008303	0.14	0.5
8	4663785	4670394	-	transcript:Zm00001d008303_T018	gene:Zm00001d008303	0.04	0.75
8	4663856	4669135	-	transcript:Zm00001d008303_T024	gene:Zm00001d008303	0.13	0.66
8	4663864	4670024	-	transcript:Zm00001d008303_T026	gene:Zm00001d008303	0.09	0.66
8	4663892	4670366	-	transcript:Zm00001d008303_T044	gene:Zm00001d008303	0.08	0.71
8	4663892	4670394	-	transcript:Zm00001d008303_T046	gene:Zm00001d008303	0.10	0.71
8	4663926	4668752	-	transcript:Zm00001d008303_T055	gene:Zm00001d008303	0.17	0.75
8	4663933	4670358	-	transcript:Zm00001d008303_T056	gene:Zm00001d008303	0.07	0.71
8	4664195	4670495	-	transcript:Zm00001d008303_T057	gene:Zm00001d008303	0.09	0.62
8	4742297	4746654	+	transcript:Zm00001d008306_T003	gene:Zm00001d008306	0.29	0.6
8	4742399	4746654	+	transcript:Zm00001d008306_T010	gene:Zm00001d008306	0.28	0.33
8	4742399	4746654	+	transcript:Zm00001d008306_T009	gene:Zm00001d008306	0.26	0.33
8	4742405	4746654	+	transcript:Zm00001d008306_T011	gene:Zm00001d008306	0.30	0.6
8	4742429	4746841	+	transcript:Zm00001d008306_T012	gene:Zm00001d008306	0.10	0.5
8	5563241	5567351	+	transcript:Zm00001d008333_T003	gene:Zm00001d008333	0.40	0.5
8	5128594	5133087	+	transcript:Zm00001d008321_T032	gene:Zm00001d008321	0.25	0.66
8	5129247	5133098	+	transcript:Zm00001d008321_T033	gene:Zm00001d008321	0.30	0.66
8	5736542	5759202	+	transcript:Zm00001d008338_T001	gene:Zm00001d008338	0.20	0.75
8	5746401	5747355	-	transcript:Zm00001d008339_T001	gene:Zm00001d008339	0.26	0.33
8	5789124	5791877	-	transcript:Zm00001d008340_T002	gene:Zm00001d008340	0.31	0.66
8	5789135	5790791	-	transcript:Zm00001d008340_T004	gene:Zm00001d008340	0.43	0.66
8	5857360	5860199	+	transcript:Zm00001d008342_T002	gene:Zm00001d008342	0.30	0.5
8	6124199	6132198	-	transcript:Zm00001d008349_T002	gene:Zm00001d008349	0.43	0.72
8	6124199	6132198	-	transcript:Zm00001d008349_T001	gene:Zm00001d008349	0.42	0.72
8	6128662	6132198	-	transcript:Zm00001d008349_T003	gene:Zm00001d008349	0.48	0.62
8	6168205	6172159	-	transcript:Zm00001d008356_T002	gene:Zm00001d008356	0.41	0.66
8	6168205	6172159	-	transcript:Zm00001d008356_T001	gene:Zm00001d008356	0.40	0.75
8	6687520	6692202	+	transcript:Zm00001d008372_T001	gene:Zm00001d008372	0.14	0.6
8	6705061	6708428	-	transcript:Zm00001d008376_T001	gene:Zm00001d008376	0.26	0.66
8	6803858	6807373	+	transcript:Zm00001d008379_T005	gene:Zm00001d008379	0.30	0.71
8	6826405	6828429	-	transcript:Zm00001d008381_T001	gene:Zm00001d008381	0.05	0.75
8	6512708	6516786	+	transcript:Zm00001d008367_T001	gene:Zm00001d008367	0.09	0.66
8	6905429	6911861	+	transcript:Zm00001d008386_T002	gene:Zm00001d008386	0.07	0.62
8	7120513	7129204	+	transcript:Zm00001d008390_T002	gene:Zm00001d008390	0.27	0.42
8	7120513	7129204	+	transcript:Zm00001d008390_T001	gene:Zm00001d008390	0.29	0.5
8	7120513	7129220	+	transcript:Zm00001d008390_T003	gene:Zm00001d008390	0.24	0.33
8	7120639	7127868	+	transcript:Zm00001d008390_T016	gene:Zm00001d008390	0.33	0.5
8	7171959	7173829	+	transcript:Zm00001d008394_T001	gene:Zm00001d008394	0.21	0.66
8	7831702	7835913	-	transcript:Zm00001d008406_T002	gene:Zm00001d008406	0.33	0.66
8	8047420	8048395	+	transcript:Zm00001d008411_T010	gene:Zm00001d008411	0.41	0.66
8	8115188	8121057	+	transcript:Zm00001d008414_T001	gene:Zm00001d008414	0.45	0.63
8	8201647	8209461	-	transcript:Zm00001d008417_T001	gene:Zm00001d008417	0.42	0.54
8	8273413	8275055	+	transcript:Zm00001d008420_T001	gene:Zm00001d008420	0.30	0.33
8	8276471	8277950	+	transcript:Zm00001d008421_T002	gene:Zm00001d008421	0.26	0.6
8	8312957	8317583	+	transcript:Zm00001d008422_T006	gene:Zm00001d008422	0.21	0.7
8	8707956	8708824	+	transcript:Zm00001d008441_T001	gene:Zm00001d008441	0.20	0.5
8	8814268	8816600	+	transcript:Zm00001d008446_T002	gene:Zm00001d008446	0.22	0.33
8	8814271	8820093	+	transcript:Zm00001d008446_T006	gene:Zm00001d008446	0.12	0.75
8	9254393	9259476	-	transcript:Zm00001d008458_T001	gene:Zm00001d008458	0.21	0.6
8	9362789	9378737	+	transcript:Zm00001d008465_T001	gene:Zm00001d008465	0.09	0.5
8	9610502	9621190	-	transcript:Zm00001d008467_T002	gene:Zm00001d008467	0.39	0.75
8	9807252	9809704	-	transcript:Zm00001d008477_T005	gene:Zm00001d008477	0.28	0.5
8	9834447	9838937	+	transcript:Zm00001d008481_T001	gene:Zm00001d008481	0.04	0.66
8	9908091	9910668	-	transcript:Zm00001d008485_T003	gene:Zm00001d008485	0.07	0.66
8	9999360	10001918	-	transcript:Zm00001d008488_T002	gene:Zm00001d008488	0.39	0.66
8	9999362	10003842	-	transcript:Zm00001d008488_T005	gene:Zm00001d008488	0.30	0.66
8	8429852	8436838	+	transcript:Zm00001d008427_T001	gene:Zm00001d008427	0.24	0.61
8	8610981	8613065	-	transcript:Zm00001d008430_T001	gene:Zm00001d008430	0.30	0.66
8	8646408	8647853	+	transcript:Zm00001d008437_T001	gene:Zm00001d008437	0.32	0.5
8	11208292	11212272	+	transcript:Zm00001d008513_T002	gene:Zm00001d008513	0.11	0.5
8	11273752	11279847	+	transcript:Zm00001d008517_T001	gene:Zm00001d008517	0.23	0.66
8	11791237	11792902	+	transcript:Zm00001d008527_T001	gene:Zm00001d008527	0.44	0.5
8	11929967	11931521	-	transcript:Zm00001d008530_T001	gene:Zm00001d008530	0.27	0.6
8	11973173	11975079	+	transcript:Zm00001d008532_T001	gene:Zm00001d008532	0.01	0.75
8	12036018	12039062	-	transcript:Zm00001d008535_T001	gene:Zm00001d008535	0.09	0.4
8	12496738	12498216	-	transcript:Zm00001d008543_T001	gene:Zm00001d008543	0.17	0.66
8	13138808	13143008	+	transcript:Zm00001d008565_T001	gene:Zm00001d008565	0.15	0.33
8	13139016	13143026	+	transcript:Zm00001d008565_T004	gene:Zm00001d008565	0.12	0.33
8	13251597	13255829	+	transcript:Zm00001d008569_T001	gene:Zm00001d008569	0.33	0.5
8	13286218	13288733	+	transcript:Zm00001d008570_T001	gene:Zm00001d008570	0.15	0.57
8	13348693	13349762	+	transcript:Zm00001d008574_T001	gene:Zm00001d008574	0.07	0.66
8	13350587	13353368	+	transcript:Zm00001d008575_T001	gene:Zm00001d008575	0.20	0.5
8	13687969	13690095	-	transcript:Zm00001d008588_T001	gene:Zm00001d008588	0.30	0.75
8	14288254	14291418	+	transcript:Zm00001d008604_T006	gene:Zm00001d008604	0.36	0.66
8	14288511	14291390	+	transcript:Zm00001d008604_T008	gene:Zm00001d008604	0.38	0.66
8	14288559	14291436	+	transcript:Zm00001d008604_T011	gene:Zm00001d008604	0.38	0.66
8	14324770	14326390	+	transcript:Zm00001d008605_T001	gene:Zm00001d008605	0.38	0.5
8	10952792	10954090	+	transcript:Zm00001d008507_T001	gene:Zm00001d008507	0.04	0.5
8	10982180	10985551	-	transcript:Zm00001d008509_T001	gene:Zm00001d008509	0.44	0.44
8	10982180	10985551	-	transcript:Zm00001d008509_T002	gene:Zm00001d008509	0.36	0.6
8	10996318	10999257	-	transcript:Zm00001d008510_T001	gene:Zm00001d008510	0.29	0.5
8	11011001	11016791	+	transcript:Zm00001d008511_T010	gene:Zm00001d008511	0.40	0.66
8	14454267	14457740	-	transcript:Zm00001d008611_T010	gene:Zm00001d008611	0.18	0.44
8	14454267	14457944	-	transcript:Zm00001d008611_T011	gene:Zm00001d008611	0.26	0.6
8	14476356	14480932	+	transcript:Zm00001d008613_T001	gene:Zm00001d008613	0.33	0.66
8	14481981	14491138	-	transcript:Zm00001d008614_T011	gene:Zm00001d008614	0.38	0.66
8	14481981	14491138	-	transcript:Zm00001d008614_T009	gene:Zm00001d008614	0.38	0.66
8	14481981	14491138	-	transcript:Zm00001d008614_T010	gene:Zm00001d008614	0.37	0.5
8	14493509	14500854	+	transcript:Zm00001d008615_T001	gene:Zm00001d008615	0.29	0.4
8	14359764	14367459	+	transcript:Zm00001d008606_T001	gene:Zm00001d008606	0.39	0.75
8	15000230	15005286	-	transcript:Zm00001d008622_T001	gene:Zm00001d008622	0.04	0.5
8	15000378	15005452	-	transcript:Zm00001d008622_T002	gene:Zm00001d008622	0.39	0.66
8	15007294	15014756	+	transcript:Zm00001d008623_T001	gene:Zm00001d008623	0.35	0.68
8	15223267	15228122	+	transcript:Zm00001d008628_T001	gene:Zm00001d008628	0.16	0.5
8	15268805	15270452	-	transcript:Zm00001d008630_T001	gene:Zm00001d008630	0.10	0.66
8	15272221	15287303	+	transcript:Zm00001d008631_T005	gene:Zm00001d008631	0.16	0.66
8	16399018	16402947	+	transcript:Zm00001d008662_T001	gene:Zm00001d008662	0.44	0.75
8	16426215	16433989	-	transcript:Zm00001d008666_T001	gene:Zm00001d008666	0.19	0.75
8	16864595	16879386	+	transcript:Zm00001d008674_T001	gene:Zm00001d008674	0.24	0.63
8	16965852	16968195	-	transcript:Zm00001d008679_T001	gene:Zm00001d008679	0.24	0.75
8	16983338	16984942	+	transcript:Zm00001d008680_T001	gene:Zm00001d008680	0.20	0.33
8	17119314	17120266	-	transcript:Zm00001d008683_T001	gene:Zm00001d008683	0.36	0.33
8	17126681	17127746	-	transcript:Zm00001d008685_T002	gene:Zm00001d008685	0.29	0.75
8	17171618	17172931	+	transcript:Zm00001d008686_T001	gene:Zm00001d008686	0.14	0.5
8	17173777	17174637	+	transcript:Zm00001d008687_T001	gene:Zm00001d008687	0.33	0.33
8	17178290	17180497	+	transcript:Zm00001d008688_T001	gene:Zm00001d008688	0.30	0.33
8	17230629	17233767	-	transcript:Zm00001d008689_T001	gene:Zm00001d008689	0.09	0.5
8	17230631	17233736	-	transcript:Zm00001d008689_T002	gene:Zm00001d008689	0.11	0.66
8	17288750	17293014	+	transcript:Zm00001d008691_T002	gene:Zm00001d008691	0.07	0.6
8	17288750	17293014	+	transcript:Zm00001d008691_T001	gene:Zm00001d008691	0.07	0.4
8	17294289	17301792	+	transcript:Zm00001d008692_T001	gene:Zm00001d008692	0.29	0.71
8	17549445	17554775	-	transcript:Zm00001d008708_T002	gene:Zm00001d008708	0.08	0.33
8	17565750	17570515	+	transcript:Zm00001d008711_T001	gene:Zm00001d008711	0.25	0.7
8	17571452	17574641	+	transcript:Zm00001d008712_T001	gene:Zm00001d008712	0.26	0.6
8	16038399	16041399	+	transcript:Zm00001d008654_T061	gene:Zm00001d008654	0.40	0.66
8	17728577	17733628	+	transcript:Zm00001d008720_T001	gene:Zm00001d008720	0.33	0.75
8	17921584	17922750	-	transcript:Zm00001d008725_T018	gene:Zm00001d008725	0.45	0.66
8	17930694	17933970	-	transcript:Zm00001d008726_T001	gene:Zm00001d008726	0.36	0.4
8	17939385	17943834	-	transcript:Zm00001d008727_T001	gene:Zm00001d008727	0.19	0.66
8	17939452	17943933	-	transcript:Zm00001d008727_T005	gene:Zm00001d008727	0.27	0.66
8	17939698	17943430	-	transcript:Zm00001d008727_T007	gene:Zm00001d008727	0.24	0.5
8	17939698	17943877	-	transcript:Zm00001d008727_T009	gene:Zm00001d008727	0.21	0.66
8	17939698	17943933	-	transcript:Zm00001d008727_T011	gene:Zm00001d008727	0.18	0.66
8	17945841	17969605	-	transcript:Zm00001d008728_T001	gene:Zm00001d008728	0.24	0.36
8	17945841	17969605	-	transcript:Zm00001d008728_T002	gene:Zm00001d008728	0.28	0.33
8	17972592	17976811	-	transcript:Zm00001d008731_T001	gene:Zm00001d008731	0.43	0.33
8	17972592	17976811	-	transcript:Zm00001d008731_T002	gene:Zm00001d008731	0.44	0.66
8	18822540	18839994	+	transcript:Zm00001d008742_T004	gene:Zm00001d008742	0.20	0.75
8	18873330	18874899	-	transcript:Zm00001d008746_T001	gene:Zm00001d008746	0.35	0.5
8	18875815	18878157	-	transcript:Zm00001d008747_T001	gene:Zm00001d008747	0.39	0.71
8	18951758	18953833	-	transcript:Zm00001d008749_T002	gene:Zm00001d008749	0.21	0.75
8	18951758	18953833	-	transcript:Zm00001d008749_T001	gene:Zm00001d008749	0.22	0.33
8	19535083	19545863	+	transcript:Zm00001d008766_T001	gene:Zm00001d008766	0.32	0.45
8	19535083	19545945	+	transcript:Zm00001d008766_T002	gene:Zm00001d008766	0.31	0.45
8	19551050	19554164	+	transcript:Zm00001d008768_T001	gene:Zm00001d008768	0.43	0.75
8	19563366	19566648	-	transcript:Zm00001d008769_T001	gene:Zm00001d008769	0.32	0.75
8	19563366	19566648	-	transcript:Zm00001d008769_T002	gene:Zm00001d008769	0.29	0.7
8	19580855	19583761	-	transcript:Zm00001d008772_T002	gene:Zm00001d008772	0.35	0.72
8	19580855	19585935	-	transcript:Zm00001d008772_T003	gene:Zm00001d008772	0.33	0.75
8	19593956	19599127	+	transcript:Zm00001d008773_T003	gene:Zm00001d008773	0.35	0.5
8	19593956	19599127	+	transcript:Zm00001d008773_T002	gene:Zm00001d008773	0.35	0.62
8	19654741	19663889	+	transcript:Zm00001d008777_T005	gene:Zm00001d008777	0.16	0.71
8	19654741	19663889	+	transcript:Zm00001d008777_T003	gene:Zm00001d008777	0.17	0.69
8	19827935	19829023	+	transcript:Zm00001d008781_T002	gene:Zm00001d008781	0.41	0.5
8	19956297	19959006	-	transcript:Zm00001d008786_T001	gene:Zm00001d008786	0.41	0.5
8	19240861	19244339	+	transcript:Zm00001d008759_T002	gene:Zm00001d008759	0.35	0.33
8	19241203	19244241	+	transcript:Zm00001d008759_T005	gene:Zm00001d008759	0.41	0.66
8	19343437	19344869	+	transcript:Zm00001d008761_T001	gene:Zm00001d008761	0.24	0.66
8	19357191	19359754	+	transcript:Zm00001d008762_T002	gene:Zm00001d008762	0.13	0.57
8	19357191	19359754	+	transcript:Zm00001d008762_T003	gene:Zm00001d008762	0.13	0.71
8	19448415	19456400	+	transcript:Zm00001d008763_T013	gene:Zm00001d008763	0.06	0.66
8	19448415	19456400	+	transcript:Zm00001d008763_T004	gene:Zm00001d008763	0.07	0.75
8	19448415	19456400	+	transcript:Zm00001d008763_T010	gene:Zm00001d008763	0.07	0.75
8	19448812	19456400	+	transcript:Zm00001d008763_T025	gene:Zm00001d008763	0.10	0.66
8	19449170	19456400	+	transcript:Zm00001d008763_T026	gene:Zm00001d008763	0.12	0.66
8	19451005	19456818	+	transcript:Zm00001d008763_T027	gene:Zm00001d008763	0.39	0.5
8	20666114	20668042	-	transcript:Zm00001d008797_T001	gene:Zm00001d008797	0.44	0.6
8	20773065	20776388	+	transcript:Zm00001d008799_T001	gene:Zm00001d008799	0.25	0.66
8	20198766	20202338	+	transcript:Zm00001d008788_T006	gene:Zm00001d008788	0.36	0.5
8	20373225	20375296	+	transcript:Zm00001d008791_T005	gene:Zm00001d008791	0.40	0.75
8	21249236	21251762	-	transcript:Zm00001d008809_T001	gene:Zm00001d008809	0.30	0.42
8	21509525	21515943	+	transcript:Zm00001d008817_T001	gene:Zm00001d008817	0.19	0.6
8	22128141	22132245	-	transcript:Zm00001d008839_T003	gene:Zm00001d008839	0.23	0.5
8	22586868	22590558	-	transcript:Zm00001d008853_T001	gene:Zm00001d008853	0.09	0.75
8	22488359	22489932	-	transcript:Zm00001d008845_T001	gene:Zm00001d008845	0.26	0.33
8	22865173	22869630	+	transcript:Zm00001d008858_T001	gene:Zm00001d008858	0.40	0.6
8	22933354	22936966	-	transcript:Zm00001d008862_T001	gene:Zm00001d008862	0.04	0.5
8	22781027	22783661	-	transcript:Zm00001d008856_T003	gene:Zm00001d008856	0.27	0.5
8	23595121	23600617	-	transcript:Zm00001d008880_T001	gene:Zm00001d008880	0.13	0.33
8	23705985	23714926	-	transcript:Zm00001d008882_T001	gene:Zm00001d008882	0.26	0.62
8	24100309	24103784	+	transcript:Zm00001d008886_T001	gene:Zm00001d008886	0.27	0.66
8	24106577	24108523	-	transcript:Zm00001d008887_T001	gene:Zm00001d008887	0.41	0.33
8	24120124	24121514	+	transcript:Zm00001d008889_T001	gene:Zm00001d008889	0.37	0.75
8	24559402	24562995	-	transcript:Zm00001d008904_T002	gene:Zm00001d008904	0.37	0.33
8	24559403	24562913	-	transcript:Zm00001d008904_T003	gene:Zm00001d008904	0.36	0.5
8	25120398	25121933	-	transcript:Zm00001d008912_T001	gene:Zm00001d008912	0.20	0.5
8	21730373	21739167	-	transcript:Zm00001d008823_T001	gene:Zm00001d008823	0.16	0.61
8	21787261	21792942	-	transcript:Zm00001d008826_T011	gene:Zm00001d008826	0.19	0.66
8	21787340	21789644	-	transcript:Zm00001d008826_T102	gene:Zm00001d008826	0.34	0.6
8	25511398	25524826	+	transcript:Zm00001d008925_T002	gene:Zm00001d008925	0.26	0.42
8	25814999	25818465	+	transcript:Zm00001d008929_T003	gene:Zm00001d008929	0.30	0.5
8	25922884	25928110	+	transcript:Zm00001d008933_T001	gene:Zm00001d008933	0.24	0.6
8	25789956	25792838	+	transcript:Zm00001d008928_T001	gene:Zm00001d008928	0.20	0.5
8	26526088	26528147	+	transcript:Zm00001d008945_T001	gene:Zm00001d008945	0.09	0.5
8	27990096	27996461	-	transcript:Zm00001d008975_T001	gene:Zm00001d008975	0.18	0.66
8	27990096	27996516	-	transcript:Zm00001d008975_T003	gene:Zm00001d008975	0.16	0.75
8	28094117	28096573	-	transcript:Zm00001d008976_T001	gene:Zm00001d008976	0.14	0.75
8	28094147	28096534	-	transcript:Zm00001d008976_T003	gene:Zm00001d008976	0.28	0.66
8	28095940	28102364	+	transcript:Zm00001d008977_T002	gene:Zm00001d008977	0.16	0.66
8	29059252	29062617	-	transcript:Zm00001d008992_T004	gene:Zm00001d008992	0.31	0.5
8	28569168	28585441	+	transcript:Zm00001d008984_T001	gene:Zm00001d008984	0.35	0.71
8	28668795	28670503	-	transcript:Zm00001d008986_T001	gene:Zm00001d008986	0.33	0.66
8	29412723	29414042	+	transcript:Zm00001d008998_T001	gene:Zm00001d008998	0.36	0.5
8	29648410	29654383	+	transcript:Zm00001d009004_T004	gene:Zm00001d009004	0.10	0.7
8	29091828	29097640	-	transcript:Zm00001d008993_T003	gene:Zm00001d008993	0.33	0.66
8	29091828	29099278	-	transcript:Zm00001d008993_T005	gene:Zm00001d008993	0.27	0.75
8	29091896	29097640	-	transcript:Zm00001d008993_T008	gene:Zm00001d008993	0.22	0.5
8	30332058	30334528	-	transcript:Zm00001d009020_T001	gene:Zm00001d009020	0.42	0.5
8	30572317	30575294	+	transcript:Zm00001d009023_T001	gene:Zm00001d009023	0.38	0.5
8	30573130	30575255	+	transcript:Zm00001d009023_T002	gene:Zm00001d009023	0.41	0.5
8	30575474	30577846	+	transcript:Zm00001d009025_T002	gene:Zm00001d009025	0.25	0.5
8	30110204	30114064	-	transcript:Zm00001d009011_T001	gene:Zm00001d009011	0.16	0.75
8	30232179	30236288	+	transcript:Zm00001d009016_T001	gene:Zm00001d009016	0.20	0.5
8	30237363	30241449	-	transcript:Zm00001d009017_T001	gene:Zm00001d009017	0.21	0.75
8	30237487	30241449	-	transcript:Zm00001d009017_T004	gene:Zm00001d009017	0.20	0.66
8	30237503	30241485	-	transcript:Zm00001d009017_T005	gene:Zm00001d009017	0.19	0.66
8	30676275	30679032	+	transcript:Zm00001d009027_T003	gene:Zm00001d009027	0.17	0.66
8	30868142	30871500	-	transcript:Zm00001d009034_T017	gene:Zm00001d009034	0.40	0.5
8	31177281	31183852	-	transcript:Zm00001d009041_T001	gene:Zm00001d009041	0.38	0.5
8	33044431	33051727	-	transcript:Zm00001d009047_T001	gene:Zm00001d009047	0.39	0.33
8	33810189	33812308	+	transcript:Zm00001d009059_T001	gene:Zm00001d009059	0.23	0.75
8	33883212	33886114	+	transcript:Zm00001d009060_T002	gene:Zm00001d009060	0.06	0.5
8	34239322	34240913	-	transcript:Zm00001d009068_T002	gene:Zm00001d009068	0.22	0.75
8	34607080	34611485	+	transcript:Zm00001d009074_T005	gene:Zm00001d009074	0.15	0.75
8	34966351	34970260	-	transcript:Zm00001d009077_T001	gene:Zm00001d009077	0.17	0.71
8	35573456	35575059	-	transcript:Zm00001d009086_T001	gene:Zm00001d009086	0.08	0.66
8	35622601	35629309	-	transcript:Zm00001d009090_T001	gene:Zm00001d009090	0.31	0.33
8	35624146	35626733	+	transcript:Zm00001d009091_T001	gene:Zm00001d009091	0.35	0.66
8	35624146	35626733	+	transcript:Zm00001d009091_T002	gene:Zm00001d009091	0.36	0.75
8	35963918	35965928	+	transcript:Zm00001d009097_T001	gene:Zm00001d009097	0.05	0.5
8	36611399	36612571	-	transcript:Zm00001d009104_T001	gene:Zm00001d009104	0.49	0.33
8	37230363	37232955	+	transcript:Zm00001d009114_T001	gene:Zm00001d009114	0.32	0.75
8	37558809	37559692	+	transcript:Zm00001d009119_T001	gene:Zm00001d009119	0.41	0.5
8	37495727	37497585	-	transcript:Zm00001d009115_T001	gene:Zm00001d009115	0.10	0.75
8	38778738	38782518	-	transcript:Zm00001d009137_T001	gene:Zm00001d009137	0.18	0.62
8	38778738	38782518	-	transcript:Zm00001d009137_T002	gene:Zm00001d009137	0.19	0.57
8	39524340	39526552	+	transcript:Zm00001d009146_T001	gene:Zm00001d009146	0.08	0.5
8	39524445	39526550	+	transcript:Zm00001d009146_T003	gene:Zm00001d009146	0.22	0.5
8	39286124	39286991	-	transcript:Zm00001d009144_T001	gene:Zm00001d009144	0.38	0.66
8	39286267	39286991	-	transcript:Zm00001d009144_T002	gene:Zm00001d009144	0.47	0.5
8	39615377	39627532	-	transcript:Zm00001d009148_T001	gene:Zm00001d009148	0.26	0.71
8	39625130	39627090	-	transcript:Zm00001d009148_T014	gene:Zm00001d009148	0.42	0.5
8	39616534	39618846	+	transcript:Zm00001d009149_T001	gene:Zm00001d009149	0.31	0.75
8	39905840	39907035	+	transcript:Zm00001d009154_T001	gene:Zm00001d009154	0.33	0.5
8	39941773	39945674	-	transcript:Zm00001d009156_T001	gene:Zm00001d009156	0.06	0.57
8	40012135	40014978	-	transcript:Zm00001d009158_T003	gene:Zm00001d009158	0.35	0.55
8	40012135	40014978	-	transcript:Zm00001d009158_T005	gene:Zm00001d009158	0.44	0.42
8	40012135	40014978	-	transcript:Zm00001d009158_T002	gene:Zm00001d009158	0.38	0.5
8	40012135	40014978	-	transcript:Zm00001d009158_T004	gene:Zm00001d009158	0.41	0.5
